,ticker,name,sector,sub-industry,price,pe,roa
449,TSCO,Tractor Supply,Consumer Discretionary,Specialty Stores,206.64999389648438,26.42,11.56
450,TT,Trane Technologies,Industrials,Building Products,148.88999938964844,26.77,6.89
451,TDG,TransDigm,Industrials,Aerospace & Defense,624.010009765625,60.04,6.27
452,TRV,Travelers,Financials,Property & Casualty Insurance,173.11000061035156,12.12,2.51
453,TRMB,Trimble,Information Technology,Electronic Equipment & Instruments,66.38999938964844,30.22,5.4
454,TFC,Truist,Financials,Regional Banks,50.88999938964844,12.01,1.2
455,TWTR,Twitter,Communication Services,Interactive Media & Services,48.93000030517578,,1.61
456,TYL,Tyler Technologies,Information Technology,Application Software,385.3999938964844,100.76,3.08
457,TSN,Tyson,Consumer Staples,Packaged Foods & Meats,94.91999816894531,11.38,8.4
458,USB,U.S. Bank,Financials,Diversified Banks,50.83000183105469,10.2,1.42
459,UDR,UDR,Real Estate,Residential REITs,58.25,323.61,0.92
460,ULTA,Ulta Beauty,Consumer Discretionary,Specialty Stores,406.510009765625,26.05,15.69
461,UAA,Under Armour (Class A),Consumer Discretionary,"Apparel, Accessories & Luxury Goods",15.470000267028809,16.37,6.58
462,UA,Under Armour (Class C),Consumer Discretionary,"Apparel, Accessories & Luxury Goods",14.34000015258789,15.17,6.58
463,UNP,Union Pacific,Industrials,Railroads,234.3000030517578,25.1,9.29
464,UAL,United Airlines,Industrials,Airlines,51.459999084472656,,-6.18
465,UNH,UnitedHealth Group,Health Care,Managed Health Care,520.9400024414062,32.33,6.79
466,UPS,United Parcel Service,Industrials,Air Freight & Logistics,187.14999389648438,25.45,7.77
467,URI,United Rentals,Industrials,Trading Companies & Distributors,314.6700134277344,19.03,6.85
468,UHS,Universal Health Services,Health Care,Health Care Facilities,132.92999267578125,10.7,7.09
469,VLO,Valero,Energy,Oil & Gas Refining & Marketing,103.05000305175781,,2.55
470,VTR,Ventas,Real Estate,Health Care REITs,58.4900016784668,110.57,1.48
471,VRSN,Verisign,Information Technology,Internet Services & Infrastructure,205.85000610351562,37.94,28.89
472,VRSK,Verisk,Industrials,Research & Consulting Services,210.60000610351562,49.21,8.9
473,VZ,Verizon,Communication Services,Integrated Telecommunication Services,51.90999984741211,9.76,6.52
474,VRTX,Vertex,Health Care,Biotechnology,270.4200134277344,32.43,13.85
475,VFC,VF Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",54.58000183105469,17.49,6.38
476,VTRS,Viatris,Health Care,Pharmaceuticals,10.279999732971191,,3.26
477,V,Visa,Information Technology,Data Processing & Outsourced Services,208.1699981689453,,13.03
478,VNO,Vornado Realty Trust,Real Estate,Office REITs,40.9900016784668,,1.23
479,VMC,Vulcan Materials,Materials,Construction Materials,171.0800018310547,35.27,4.64
480,WAB,Wabtec,Industrials,Construction Machinery & Heavy Trucks,89.12999725341797,37.0,3.29
481,WMT,Walmart,Consumer Staples,Hypermarkets & Super Centers,156.86000061035156,55.23,6.52
482,WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,45.540000915527344,15.53,2.65
483,WBD,Warner Bros. Discovery,Communication Services,Broadcasting,20.56999969482422,,
484,WM,Waste Management,Industrials,Environmental & Facilities Services,157.50999450683594,38.23,7.01
485,WAT,Waters,Health Care,Health Care Distributors,296.44000244140625,26.56,17.41
486,WEC,WEC Energy Group,Utilities,Electric Utilities,103.9800033569336,25.06,2.82
487,WFC,Wells Fargo,Financials,Diversified Banks,46.34000015258789,11.05,1.03
488,WELL,Welltower,Real Estate,Health Care REITs,94.94000244140625,91.73,1.36
489,WST,West Pharmaceutical Services,Health Care,Health Care Supplies,349.7699890136719,43.38,15.64
490,WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals",49.459999084472656,10.35,5.75
491,WRK,WestRock,Materials,Paper Packaging,50.41999816894531,16.11,3.15
492,WY,Weyerhaeuser,Real Estate,Specialized REITs,41.52000045776367,12.54,13.03
493,WHR,Whirlpool,Consumer Discretionary,Household Appliances,173.82000732421875,5.54,7.15
494,WMB,Williams,Energy,Oil & Gas Storage & Transportation,35.099998474121094,42.8,3.32
495,WTW,Willis Towers Watson,Financials,Insurance Brokers,237.38999938964844,,2.42
496,WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming,73.19999694824219,,-1.9
497,XEL,Xcel Energy,Utilities,Multi-Utilities,74.30000305175781,25.41,2.47
498,XYL,Xylem,Industrials,Industrial Machinery,84.66999816894531,33.22,4.73
499,YUM,Yum! Brands,Consumer Discretionary,Restaurants,122.4000015258789,23.64,22.6
500,ZBRA,Zebra,Information Technology,Electronic Equipment & Instruments,377.9800109863281,24.1,11.3
501,ZBH,Zimmer Biomet,Health Care,Health Care Equipment,125.69999694824219,32.12,3.38
502,ZION,Zions Bancorp,Financials,Regional Banks,60.7400016784668,8.58,1.44
503,ZTS,Zoetis,Health Care,Pharmaceuticals,181.9499969482422,43.85,12.77
